num_posts,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,NegativeEmotion,CoreHostility,We,They,length,count_repeated,kind,ptile
1,72.687584,0.0,0.0,0.0,13.333333333333334,33.33333333333333,0.0,0.0,70.0,15,before,1
1,0.7999515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,14,before,1
2,74.73183,0.0,0.0,0.0,3.7037037037037033,14.814814814814813,0.0,0.0,72.0,27,before,2
1,3.9214667000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6,before,1
1,20.075038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,before,1
4,16.549705,0.0,0.0,0.0,7.6923076923076925,15.384615384615385,0.0,0.0,18.0,13,before,2
1,2.4358109999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4,before,1
4,9.964757,0.0,0.0,0.0,1.0416666666666665,0.0,1.0416666666666665,1.0416666666666665,74.5,96,before,2
4,80.91679,25.0,1.9607843137254901,0.0,1.9607843137254901,7.8431372549019605,0.0,0.0,56.0,51,before,2
24,71.52847,0.0,2.7950310559006213,0.0,1.5527950310559007,2.1739130434782608,0.0,0.9316770186335404,39.0,322,before,3
11,70.05690999999999,0.0,0.0,0.0,2.1739130434782608,3.260869565217391,0.0,1.0869565217391304,38.0,92,before,3
1,21.089023,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,242.0,47,before,1
2,4.7266964,0.0,2.941176470588235,0.0,2.941176470588235,0.0,0.0,5.88235294117647,98.5,34,before,2
36,77.989227,0.0,1.7931034482758619,0.13793103448275862,1.2413793103448276,2.4827586206896552,0.0,1.103448275862069,84.5,725,before,3
19,73.71642,0.0,0.0,0.0,2.083333333333333,1.6666666666666667,0.8333333333333334,0.4166666666666667,52.0,240,before,3
40,86.74401,7.5,1.9469026548672566,0.35398230088495575,3.7168141592920354,7.610619469026549,1.592920353982301,0.7079646017699115,53.0,565,before,3
2,21.046609999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,19,before,2
1,8.677192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,21,before,1
7,53.207034,0.0,0.0,0.0,1.5384615384615385,0.0,1.5384615384615385,1.5384615384615385,38.0,65,before,2
4,74.00939,0.0,0.0,0.0,13.636363636363635,22.727272727272727,0.0,0.0,18.5,22,before,2
