num_posts_x,SEVERE_TOXICITY80p_x,fixation_dict_incels_x,fixation_dict_td_x,NegativeEmotion_x,CoreHostility_x,We_x,They_x,length_x,count_repeated_x,num_posts_y,SEVERE_TOXICITY80p_y,fixation_dict_incels_y,fixation_dict_td_y,NegativeEmotion_y,CoreHostility_y,We_y,They_y,length_y,count_repeated_y,ptile
1535,5.928338762214984,2.2878259425344627,0.04152134196977247,1.9847201461551236,3.9735924265072247,0.32386646736422525,1.079554891214084,45.0,24084,1034,6.382978723404255,2.0571555654397864,0.022239519626376072,2.3740687201156456,4.086511731346603,0.28911375514288895,0.9396197042143889,46.5,17986,4
63,0.0,1.3584905660377358,0.0,2.339622641509434,4.0,0.5283018867924528,1.0566037735849056,79.0,1325,2,0.0,6.25,0.0,12.5,25.0,0.0,0.0,46.5,16,2
116,13.793103448275861,2.3185747969609642,0.06549646319098767,2.6853549908304952,3.7856955724390886,1.1658370447995807,2.0434896515588155,222.5,7634,12,0.0,1.056338028169014,0.0,2.464788732394366,3.169014084507042,1.7605633802816902,0.8802816901408451,82.5,568,3
1255,14.342629482071715,3.1072298943948007,0.060926076360682375,5.325954508529651,9.545085296506905,0.8072705117790414,1.274370430544273,59.0,19696,460,4.130434782608695,2.78299470718798,0.034147174321324913,3.9098514597917022,6.402595185248421,0.4695236469182175,0.9305105002561037,88.0,11714,4
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,11,101,1.9801980198019802,0.9402914903620121,0.04701457451810061,2.1626704278326283,3.7611659614480484,0.14104372355430184,0.5171603196991067,71.0,2127,1
244,2.0491803278688523,1.7137096774193548,0.06300403225806452,2.331149193548387,3.679435483870968,0.6300403225806451,1.3860887096774193,130.0,7936,241,1.2448132780082988,1.747487986020096,0.0327653997378768,2.271734381826125,3.5058977719528177,0.4477937964176496,1.3543031891655744,160.0,9156,3
68,5.88235294117647,5.656565656565657,0.0,3.0303030303030303,8.686868686868687,0.0,0.40404040404040403,27.0,495,57,7.017543859649122,2.1505376344086025,0.0,4.838709677419355,6.048387096774194,0.5376344086021506,0.9408602150537635,45.0,744,2
151,1.9867549668874174,0.8794619762027935,0.0,1.6554578375581996,2.8970512157268495,0.7759958613554061,1.603724780134506,55.0,1933,3,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,32.0,26,3
9,0.0,1.2195121951219512,0.0,1.2195121951219512,1.8292682926829267,0.6097560975609756,0.0,55.0,164,3,0.0,2.857142857142857,0.0,2.857142857142857,11.428571428571429,0.0,0.0,78.0,35,1
165,1.2121212121212122,2.149740548554485,0.0,1.630837657524092,2.2979985174203117,0.6671608598962194,0.815418828762046,32.0,1349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,21,3
712,2.106741573033708,1.4191613559685106,0.026776629357896427,2.7526374979917527,4.4502757992823865,0.6426391045895142,1.2156589728484979,98.0,18673,90,0.0,1.1522633744855968,0.0411522633744856,2.42798353909465,3.0864197530864197,1.0699588477366255,1.8106995884773662,110.5,2430,4
358,3.35195530726257,2.265069262448521,0.037439161362785474,2.3025084238113065,4.118307749906402,0.4867090977162112,0.8049419692998877,62.5,5342,429,3.7296037296037294,2.0754295916090157,0.08926578888640928,3.4590493193483596,5.936174960946217,0.6694934166480696,0.9372907833072975,49.0,4481,3
40,20.0,4.62046204620462,0.16501650165016502,2.9702970297029703,7.590759075907591,1.3201320132013201,4.125412541254125,62.0,606,139,17.26618705035971,5.094654788418708,0.027839643652561245,3.3129175946547886,8.101336302895323,0.19487750556792874,2.700445434298441,78.0,3592,2
923,8.234019501625136,1.929604314874227,0.06974473427256242,3.2733528618589296,5.76556469986516,0.9345794392523363,1.7110708141535313,83.0,21507,214,10.74766355140187,1.1992368492777323,0.09539384028345599,3.7203597710547833,6.500408830744071,0.6541291905151267,2.125919869174162,139.5,7338,4
1786,3.41545352743561,0.683872780926507,0.08899714272331256,3.075085484097616,4.965103751932174,0.7635018033631552,1.131200524614736,78.0,42698,2290,4.104803493449782,0.6119913957645348,0.10149362256491049,3.075105280698034,4.688399430423849,0.8725421880207229,1.2012603387160299,101.5,66014,4
142,2.8169014084507045,2.7135678391959797,0.07537688442211055,2.3115577889447234,3.492462311557789,0.5025125628140703,1.5577889447236182,77.0,3980,751,1.5978695073235687,2.218536180800332,0.058746285161379495,1.9248047549934342,3.3589052456976987,0.3697560301333886,1.6137950100214251,112.0,28938,3
14,0.0,2.13903743315508,0.0,1.6042780748663104,3.7433155080213902,0.0,0.0,48.0,187,7,14.285714285714285,2.142857142857143,0.0,5.714285714285714,7.857142857142857,0.7142857142857143,0.0,55.0,140,1
