num_posts_x,SEVERE_TOXICITY80p_x,fixation_dict_incels_x,fixation_dict_td_x,NegativeEmotion_x,CoreHostility_x,We_x,They_x,length_x,count_repeated_x,num_posts_y,SEVERE_TOXICITY80p_y,fixation_dict_incels_y,fixation_dict_td_y,NegativeEmotion_y,CoreHostility_y,We_y,They_y,length_y,count_repeated_y,ptile
356,14.606741573033707,4.917886469118172,0.03570153516601214,2.1956444127097465,4.846483398786148,0.26776151374509105,1.4280614066404855,98.0,11204,229,13.973799126637553,4.438047259205949,0.011994722322178242,2.7587861341009954,5.625524769101595,0.20391027947703008,1.1514933429291112,114.0,8337,4
12,0.0,3.428571428571429,0.0,2.4761904761904763,4.761904761904762,0.9523809523809524,1.1428571428571428,131.0,525,1,0.0,12.5,0.0,25.0,50.0,0.0,0.0,45.0,8,2
63,15.873015873015872,3.0209933435739886,0.08533879501621437,2.594299368492917,3.823178016726404,0.8875234681686295,2.2188086704215735,286.0,5859,4,0.0,2.3166023166023164,0.0,1.9305019305019304,2.7027027027027026,0.7722007722007722,0.0,127.5,259,3
415,22.89156626506024,6.453653906991458,0.05272593061267532,5.430770853105557,10.376463144574503,0.9174311926605505,1.66613940736054,89.0,9483,178,7.303370786516854,4.448082958111612,0.05457770500750444,3.8886614817846907,6.835857552189931,0.5457770500750444,1.0506208213944603,135.0,7329,4
85,2.3529411764705883,3.690637720488467,0.027137042062415198,2.415196743554952,3.7991858887381276,0.5156037991858887,1.682496607869742,177.0,3685,103,0.9708737864077669,3.1702001188825046,0.0396275014860313,2.2785813354468,3.962750148603131,0.3170200118882504,1.5454725579552209,192.0,5047,3
22,13.636363636363635,14.358974358974358,0.0,4.615384615384616,11.794871794871794,0.0,0.5128205128205128,36.0,195,13,7.6923076923076925,6.177606177606178,0.0,3.861003861003861,6.563706563706563,0.0,0.7722007722007722,55.0,259,2
2,0.0,8.695652173913043,0.0,0.0,4.3478260869565215,0.0,0.0,62.0,23,1,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,78.0,12,1
196,4.591836734693878,3.7884203002144385,0.028591851322373123,3.0021443888491777,5.117941386704789,0.45746962115796996,1.5153681200857756,150.5,6995,23,0.0,4.223227752639517,0.0,2.262443438914027,3.619909502262444,0.7541478129713424,2.413273001508296,127.0,663,4
90,6.666666666666667,5.723746452223273,0.0946073793755913,2.2232734153263953,4.7776726584673606,0.5203405865657522,1.0879848628192998,90.5,2114,73,17.80821917808219,7.46987951807229,0.0,4.899598393574297,10.763052208835342,0.48192771084337355,0.8835341365461846,71.0,1245,3
19,31.57894736842105,7.368421052631578,0.2631578947368421,3.684210526315789,8.68421052631579,1.5789473684210527,4.736842105263158,97.0,380,77,24.675324675324674,6.271418779986291,0.034270047978067174,3.5298149417409186,8.533241946538725,0.06854009595613435,3.015764222069911,159.0,2918,2
283,15.19434628975265,4.519712480940972,0.0980178610324548,3.637551731648878,6.501851448486169,0.8277063820518407,2.0257024613373993,124.0,9182,65,24.615384615384617,2.727836329820211,0.09299442033477992,4.587724736515809,8.431494110353379,0.7129572225666461,1.5809051456912586,183.0,3226,4
251,11.952191235059761,2.997638846114362,0.0513294322964788,3.4185401909454884,6.139000102658865,0.6262190740170414,1.3140334667898572,138.0,9741,326,13.803680981595093,2.789862578551205,0.048339203093708996,3.0384641944617083,5.6418755610800355,0.904633657896554,1.6504385056280644,173.5,14481,4
53,7.547169811320755,3.917301414581066,0.1088139281828074,2.3939064200217626,3.917301414581066,0.544069640914037,1.7047515415306493,178.0,2757,266,3.007518796992481,3.3409658617818487,0.06244796003330558,2.055578684429642,3.731265611990008,0.3278517901748543,1.9150707743547042,302.0,19216,3
4,0.0,5.333333333333334,0.0,1.3333333333333335,2.666666666666667,0.0,0.0,88.5,75,3,33.33333333333333,3.225806451612903,0.0,4.301075268817205,6.451612903225806,1.0752688172043012,0.0,236.0,93,1
249,15.66265060240964,7.352941176470589,0.020145044319097503,4.0491539081385985,8.319903303787267,0.4834810636583401,1.2288477034649476,94.0,4964,80,8.75,6.371490280777538,0.0,2.4838012958963285,5.777537796976242,0.4319654427645789,0.9719222462203023,104.0,1852,4
