venue,date_post,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,NegativeEmotion,CoreHostility,We,They,fixation_dict_incels_norm,fixation_dict_td_norm,NegativeEmotion_norm,CoreHostility_norm,We_norm,They_norm,length,count_repeated,intervention_flag,date_idx
/r/Incels,2017-07-11,41.03430153143711,9.281437125748502,3.960194273681351,0.07811703970383453,2.9514655435927044,5.267805590462928,0.6249363176306763,1.5793227592296981,0.06877611573421404,0.0006114278236688962,0.0349219759182938,0.06923755137855056,0.007271576016187506,0.013449543637546394,157.5,29443,0,-119
/r/Incels,2017-07-12,42.58643565894494,9.63302752293578,4.915420446187791,0.024515812699190977,3.3709242461387596,6.190242706545722,1.0909536651139984,2.39029173817112,0.08600881872730093,0.00021738582518399032,0.03826224667105842,0.07551034658335108,0.007942833320606543,0.018555912561160823,128.5,8158,0,-118
/r/Incels,2017-07-13,38.2814145708293,6.585365853658537,4.300131636682756,0.03761048078731273,2.5387074531436093,4.795336300382373,0.7459412022817025,1.8993292797592927,0.08070003596913397,0.0002624797678414163,0.03331084877189267,0.06562601090014687,0.006342715901842073,0.016290034563859888,144.0,15953,0,-117
/r/Incels,2017-07-14,38.04852338733728,10.059171597633137,3.9233345529256143,0.1125777490079086,2.7919281753961327,4.69167768990459,0.5657031887647407,1.570459598660325,0.07717519718662075,0.001128540803720842,0.03435386191101333,0.0634080615496584,0.006342692843208044,0.015016002575023939,156.0,35531,0,-116
/r/Incels,2017-07-15,38.5434042050941,8.60215053763441,3.724678014368002,0.07119280305481845,2.747394990615494,4.977024140832309,0.4206847453239272,1.4950488641511877,0.07211531693080268,0.0011593995622981032,0.03186694167841925,0.06768982538361863,0.0047353716624138785,0.014588736153133114,153.0,30902,0,-115
/r/Incels,2017-07-16,38.16168237923987,8.029978586723768,3.446615751581067,0.06346149637831805,2.9192288334026304,4.63706589053986,0.5733417948661838,1.5515241700768103,0.0654577965523843,0.0004926394537393175,0.03677267634613538,0.06657745212035818,0.005403211430888895,0.015233714813641884,166.0,45697,0,-114
/r/Incels,2017-07-17,36.79000602851711,7.604562737642586,3.826671578559587,0.06446859458463806,2.979370049732916,4.344722785043286,0.4397679130594953,1.6370418124884878,0.06973828526890487,0.00035933333448549777,0.03578518243021314,0.05756106728639598,0.00496356118778266,0.01563434121026456,152.0,43432,0,-113
/r/Incels,2017-07-18,40.94668253871998,10.48,3.7520162704256963,0.050845080300161306,2.8666105617504734,5.007363770250368,0.4400729363910513,1.6182761764499614,0.06972254856438985,0.000524539576465193,0.037202911347902545,0.07376569272065664,0.004823683278777073,0.014434999107508693,156.5,57036,0,-112
/r/Incels,2017-07-19,37.152316266749494,7.3558648111332,3.760572543916721,0.05204944697462589,2.7304272392105835,4.432877900672305,0.3816959444805899,1.509433962264151,0.07416032922073593,0.0005993407185004324,0.0345081497220711,0.06472467626242853,0.005008601416477697,0.014000563327764731,160.0,46110,0,-111
/r/Incels,2017-07-20,39.792893243606144,8.960176991150442,3.948585861111806,0.03250893995848858,2.675735827352522,4.728800420115531,0.5376478531596188,1.52041811498162,0.07308760234930133,0.0001235628900762415,0.03447613109149761,0.06592815745249625,0.005327934933430747,0.01206327935680363,155.5,39989,0,-110
/r/Incels,2017-07-21,40.54246744607734,10.939226519337018,4.268926373011431,0.06128920510565726,2.7473552375622887,5.124310496442561,0.4663309084126096,1.5615423561702242,0.07686521681127984,0.0008259341306093194,0.03413874714781253,0.07038114974449601,0.004115899414213143,0.015055858710123653,140.0,37527,0,-109
/r/Incels,2017-07-22,36.73384870225839,8.298319327731091,3.9360364973697686,0.04888040594013314,2.8141147991248077,4.313113914622225,0.45621712210790927,1.7224523997951677,0.07051152455094993,0.0004328373465637151,0.034416612936751065,0.05863226204714891,0.004417378460346263,0.014898924399373934,159.5,42962,0,-108
/r/Incels,2017-07-23,38.55155301312499,6.25,4.140914709517923,0.061804697156983925,2.3949320148331275,4.048207663782447,0.865265760197775,1.8541409147095178,0.07725006170928188,0.00023084751504294705,0.02736204523191175,0.05225143154379264,0.005872269533653161,0.015605254978411523,146.5,6472,0,-107
/r/Incels,2017-08-01,40.23901314640287,8.273381294964029,3.954549521338463,0.0715755569473025,2.988279502549879,4.384002863022278,0.6352330679073096,1.8788583698666907,0.0720528072886237,0.0005610478838228346,0.03467550981450505,0.055958878081147016,0.005775038744649692,0.015267414223488589,153.5,11177,0,-98
/r/Incels,2017-08-02,40.91101628218182,7.636363636363637,3.8754764930114356,0.03630422944273008,3.094935559992739,4.964603376293338,0.7079324741332365,1.679070611726266,0.07209270109205196,0.00021910975786573874,0.03871778096057197,0.06977659621934026,0.0067921132898030685,0.01682230852856065,146.0,11018,0,-97
/r/Incels,2017-08-03,36.848888279463104,6.375838926174497,3.518334985133796,0.09084902543772713,3.088866864882722,4.790221341261976,0.561612157251404,2.0399735711926,0.07531758661675207,0.0006152201865065576,0.03909618117496845,0.06611391091451269,0.004399512797427954,0.017533442826912368,148.0,12108,0,-96
/r/Incels,2017-08-04,44.46012387566373,13.864306784660767,3.8330060368026766,0.05818604989453779,3.4693432249618157,5.614953814822896,0.5745872427085607,2.029238490072005,0.07077098297427444,0.0005398595594304017,0.04846515103733395,0.07985820315147187,0.005406096615293605,0.017049637926989984,142.0,13749,0,-95
