num_posts_x,SEVERE_TOXICITY80p_x,fixation_dict_incels_x,fixation_dict_td_x,fixation_dict_gc_x,NegativeEmotion_x,CoreHostility_x,We_x,They_x,length_x,count_repeated_x,num_posts_y,SEVERE_TOXICITY80p_y,fixation_dict_incels_y,fixation_dict_td_y,fixation_dict_gc_y,NegativeEmotion_y,CoreHostility_y,We_y,They_y,length_y,count_repeated_y,ptile
2,0.0,0.0,0.0,0.0,1.0309278350515463,1.0309278350515463,0.0,0.0,324.5,97,2,50.0,0.0,0.0,0.0,6.153846153846154,10.76923076923077,0.0,0.0,167.0,65,1
259,0.0,0.0,0.0,0.4494730316181029,2.1543707377557344,2.1543707377557344,0.49597024178549287,1.4879107253564787,100.0,6452,160,0.0,0.0,0.0,0.8933129147524248,2.22052067381317,2.3736600306278715,0.587034201123022,1.4293006636038794,93.5,3918,4
20,0.0,0.0,0.0,2.0876826722338206,0.8350730688935281,2.9227557411273484,0.6263048016701461,2.5052192066805845,59.0,479,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,9,3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2,1,0.0,0.0,0.0,0.0,6.25,6.25,0.0,0.0,99.0,16,1
2,0.0,0.0,0.0,0.0,0.7575757575757576,3.0303030303030303,0.0,0.0,368.0,132,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,105,1
56,3.571428571428571,0.0,0.0,0.2936857562408223,1.6152716593245229,2.7900146842878124,0.4405286343612335,1.2481644640234948,104.5,1362,40,2.5,0.0,0.0,0.15052684395383845,1.8564977420973405,2.7094831911690918,0.6522829904666332,1.3547415955845459,135.5,1993,3
3,0.0,0.0,0.0,0.0,3.3707865168539324,2.247191011235955,0.0,2.247191011235955,142.0,89,1,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,204.0,37,1
40,0.0,0.0,0.0,0.4248088360237893,2.1665250637213256,2.7187765505522514,1.4443500424808835,2.336448598130841,256.0,2354,2,0.0,0.0,0.0,0.0,1.7241379310344827,0.0,1.7241379310344827,0.0,306.5,116,3
1,0.0,0.0,0.0,0.0,16.666666666666664,66.66666666666666,0.0,0.0,28.0,6,15,0.0,0.0,0.0,1.6528925619834711,2.203856749311295,2.203856749311295,0.27548209366391185,1.3774104683195594,55.0,363,1
28,21.428571428571427,0.0,0.0,1.024473534433694,2.6180990324416618,4.951622083096187,1.0813887307911212,3.4718269778030733,201.5,1757,2,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,180.5,70,3
18,0.0,0.0,0.0,0.17543859649122806,2.631578947368421,1.2280701754385965,1.9298245614035088,2.807017543859649,135.5,570,4,0.0,0.0,0.0,0.1718213058419244,1.718213058419244,3.608247422680412,0.5154639175257731,0.1718213058419244,646.0,582,3
287,0.34843205574912894,0.0,0.0,0.2120890774125133,1.6569459172852599,2.1474019088016965,0.7423117709437964,2.04135737009544,95.0,7544,199,0.0,0.0,0.0,0.3000230786983614,1.4539579967689822,2.3078698361412417,0.5538887606738979,2.3771059312254788,70.0,4333,4
22,0.0,0.0,0.0,1.0752688172043012,2.1505376344086025,2.6468155500413566,1.488833746898263,1.5715467328370554,292.5,1209,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,30,3
