num_posts_x,SEVERE_TOXICITY80p_x,fixation_dict_incels_x,fixation_dict_td_x,fixation_dict_gc_x,NegativeEmotion_x,CoreHostility_x,We_x,They_x,length_x,count_repeated_x,num_posts_y,SEVERE_TOXICITY80p_y,fixation_dict_incels_y,fixation_dict_td_y,fixation_dict_gc_y,NegativeEmotion_y,CoreHostility_y,We_y,They_y,length_y,count_repeated_y,ptile
24,0.0,0.0,0.0,2.9866117404737382,1.956745623069001,1.956745623069001,0.5149330587023687,1.6477857878475797,196.0,971,28,0.0,0.0,0.0,3.102836879432624,2.4822695035460995,2.74822695035461,0.26595744680851063,1.5070921985815602,174.0,1128,4
4,0.0,0.0,0.0,1.7241379310344827,0.8620689655172413,1.293103448275862,0.0,1.7241379310344827,269.0,232,3,0.0,0.0,0.0,2.2388059701492535,1.4925373134328357,1.4925373134328357,0.0,2.2388059701492535,127.0,134,2
8,0.0,0.0,0.0,1.824817518248175,0.9124087591240875,2.18978102189781,1.4598540145985401,2.737226277372263,353.5,548,1,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,98.0,10,3
7,42.857142857142854,0.0,0.0,3.103448275862069,3.2758620689655173,6.379310344827586,1.5517241379310345,2.9310344827586206,412.0,580,10,0.0,0.0,0.0,2.6499302649930265,1.9525801952580195,3.3472803347280333,0.9762900976290098,1.9525801952580195,401.0,717,2
1,0.0,0.0,0.0,1.6666666666666667,5.0,1.6666666666666667,6.666666666666667,1.6666666666666667,321.0,60,1,0.0,0.0,0.0,0.29239766081871343,1.7543859649122806,2.3391812865497075,0.8771929824561403,0.0,1829.0,342,1
12,0.0,0.0,0.0,3.7825059101654848,1.1820330969267139,3.309692671394799,0.2364066193853428,3.309692671394799,126.0,423,9,0.0,0.0,0.0,3.0732860520094563,0.7092198581560284,2.8368794326241136,0.7092198581560284,4.964539007092199,259.0,423,3
7,0.0,0.0,0.0,1.4532243415077202,2.361489554950045,2.5431425976385107,0.9082652134423252,2.5431425976385107,1116.0,1101,2,0.0,0.0,0.0,1.6,0.8,0.8,1.6,0.0,381.0,125,2
10,0.0,0.0,0.0,1.3671875,1.85546875,3.7109375,0.78125,2.24609375,420.5,1024,40,5.0,0.0,0.0,1.825366955212646,3.0673692133985697,4.215280391418894,0.35754610462928116,2.145276627775687,625.0,5314,3
27,0.0,0.0,0.0,1.5432098765432098,2.199074074074074,1.8518518518518516,0.6365740740740741,1.7361111111111112,706.0,5184,16,0.0,0.0,0.0,0.9541984732824428,2.0229007633587788,1.6412213740458017,0.4961832061068702,1.7938931297709924,889.0,2620,4
18,0.0,0.0,0.0,1.3636363636363635,1.7676767676767675,1.7171717171717171,1.0606060606060608,1.1111111111111112,604.0,1980,4,0.0,0.0,0.0,0.9216589861751152,1.6129032258064515,1.1520737327188941,0.2304147465437788,1.6129032258064515,443.0,434,3
10,0.0,0.0,0.0,2.5878003696857674,0.9242144177449169,0.5545286506469501,0.18484288354898337,1.6635859519408502,232.0,541,3,0.0,0.0,0.0,2.941176470588235,2.941176470588235,4.411764705882353,0.0,0.0,157.0,136,3
1,0.0,0.0,0.0,1.6666666666666667,3.3333333333333335,0.0,0.0,10.0,341.0,60,1,0.0,0.0,0.0,6.0606060606060606,0.0,0.0,0.0,0.0,182.0,33,1
3,0.0,0.0,0.0,2.3391812865497075,3.508771929824561,2.3391812865497075,0.0,2.3391812865497075,275.0,171,1,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,272.0,44,2
12,0.0,0.0,0.0,2.512562814070352,1.675041876046901,2.5963149078726966,0.5862646566164154,1.7587939698492463,465.5,1194,2,0.0,0.0,0.0,2.094240837696335,0.0,0.0,1.5706806282722512,3.664921465968586,508.0,191,3
68,0.0,0.0,0.0,1.9828975089850043,1.8589664146734415,2.0820423844342546,0.44615193952162596,3.1478497955136944,626.0,8069,7,0.0,0.0,0.0,1.5350877192982455,2.4122807017543857,3.9473684210526314,0.8771929824561403,1.3157894736842104,362.0,456,4
1,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,21.0,3,2,0.0,0.0,0.0,0.9868421052631579,2.302631578947368,1.644736842105263,0.0,0.0,809.5,304,1
55,3.6363636363636362,0.0,0.0,1.4264036418816388,2.4279210925644916,3.014668689934244,0.5260495700556399,2.114314618108245,675.0,9885,79,2.5316455696202533,0.0,0.0,1.2865225141439975,2.0227853987444777,3.061303572812524,0.7362628846004805,2.47229326513214,772.0,12903,4
31,0.0,0.0,0.0,2.6704545454545454,1.8181818181818181,2.6136363636363633,0.17045454545454544,2.784090909090909,257.0,1760,22,0.0,0.0,0.0,4.166666666666666,2.1551724137931036,2.1551724137931036,0.5747126436781609,2.1551724137931036,182.0,696,4
14,7.142857142857142,0.0,0.0,2.2857142857142856,3.314285714285714,6.057142857142858,2.1714285714285713,3.2,308.0,875,19,0.0,0.0,0.0,2.113113735239279,2.2995649471721564,2.9210689869484154,1.0565568676196395,1.9888129272840271,487.0,1609,3
29,0.0,0.0,0.0,2.1175453759723424,1.4261019878997407,1.728608470181504,1.3396715643906656,1.7718236819360416,426.0,2314,8,0.0,0.0,0.0,1.9230769230769231,1.510989010989011,0.4120879120879121,1.2362637362637363,0.9615384615384616,300.5,728,4
4,0.0,0.0,0.0,2.2443890274314215,1.4962593516209477,1.4962593516209477,0.0,0.997506234413965,371.0,401,1,0.0,0.0,0.0,1.0309278350515463,1.0309278350515463,2.0618556701030926,0.0,1.0309278350515463,549.0,97,2
